run,model_name,voxel_size,fold_id,epoch,train_loss,test_loss,aucroc,aps,accuracy,precision,recall,f1
vs_2_linear,linear,2,3,4,0.6056630859772896,0.6430654066222383,0.699504150560801,0.6625236880260481,0.6357243319268636,0.608433734939759,0.8256130790190735,0.7005780346820809
vs_2_linear,linear,2,3,5,0.597982900592181,0.6457648222689122,0.6894643875546543,0.6573862507538651,0.6315049226441631,0.6082474226804123,0.8038147138964578,0.6924882629107981
vs_2_linear,linear,2,3,6,0.5859374821148003,0.6515826696240039,0.6768899309295989,0.6523761415964402,0.6216596343178622,0.6029411764705882,0.782016348773842,0.6809015421115066
vs_2_linear,linear,2,3,7,0.577472535722321,0.6489874346274936,0.6806682086052849,0.6553776525704303,0.6244725738396625,0.6041666666666666,0.7901907356948229,0.6847697756788665
vs_2_linear,linear,2,4,1,0.6478945135078844,0.6858684035529078,0.6840634155708206,0.6481038066449268,0.6508355321020228,0.6194690265486725,0.8361774744027304,0.7116920842411039
vs_2_linear,linear,2,4,2,0.6236230273460669,0.700650455275502,0.6880415998216088,0.6556399944480108,0.6561125769569042,0.6245210727969349,0.8344709897610921,0.7143900657414171
vs_2_linear,linear,2,4,3,0.6119783308221808,0.6966082439992546,0.6920569488921786,0.6597373703338316,0.6534740545294635,0.6224489795918368,0.8327645051194539,0.7124087591240876
vs_2_linear,linear,2,4,4,0.6016526845989809,0.691984863477613,0.690355109853013,0.6590864281079188,0.6543535620052771,0.6210790464240903,0.8447098976109215,0.7158351409978309
vs_1_linear,linear,1,0,1,0.503753100218231,0.48340668619149124,0.9573297046807386,0.9634236227700936,0.7558653519211153,0.6899601946041575,0.9892200380469245,0.8129233976029182
vs_1_linear,linear,1,0,2,0.39322825181397003,0.45669853980639574,0.9283677385882472,0.9431116103088375,0.7953077184631078,0.7381533952125061,0.958148383005707,0.8338852097130243
vs_1_linear,linear,1,0,3,0.33316555090928296,0.4508430465296371,0.9176398447625972,0.9370429945174406,0.8085685141108466,0.7584097859327217,0.9435637285986049,0.8409155128567392
vs_1_linear,linear,1,0,4,0.2873272046663769,0.4698690625707356,0.9484204761630252,0.9543946737130223,0.7980278816729004,0.7328280435812411,0.9809765377298668,0.838937093275488
vs_1_linear,linear,1,0,5,0.25295771540225154,0.44475712649051813,0.9061332534955381,0.9271470697419046,0.8187691261475688,0.7830802603036876,0.9156626506024096,0.8441976030400468
vs_1_linear,linear,1,0,6,0.22172331856131505,0.4499829962228854,0.9279558425087913,0.9392581682606217,0.819449166950017,0.7662932790224033,0.9543436905516804,0.8500423609149957
vs_1_linear,linear,1,0,7,0.19919651996114818,0.446271939964598,0.9207778792279785,0.9339852268102318,0.8252295137708262,0.7787100157315154,0.9416613823715916,0.8524684270952928
